vote_id,date,year,session,wahlperiode,bill_german_title,bill_english_title,topic_category,drucksache,bsb_volume_id,bsb_url,source
7,1921-03-10,1921,80. Sitzung,1.WP,Gesetzentwurf über die Erhöhung der Getreidezölle,Bill on the Increase of Grain Tariffs,Grain Tariff,,bsb00000028,https://www.digitale-sammlungen.de/de/view/bsb00000028,BSB Stenographische Berichte / DWDS D*/reichstag corpus
8,1921-03-22,1921,84. Sitzung,1.WP,Antrag betreffend Aufhebung der Zwangswirtschaft für Getreide,Motion on Abolition of Grain Rationing Controls,Grain Market Regulation,,bsb00000028,https://www.digitale-sammlungen.de/de/view/bsb00000028,BSB Stenographische Berichte / DWDS D*/reichstag corpus
9,1921-03-24,1921,86. Sitzung,1.WP,Gesetzentwurf über die Regelung des Verkehrs mit Milch,Bill on the Regulation of Milk Trade,Milk / Dairy Regulation,,bsb00000028,https://www.digitale-sammlungen.de/de/view/bsb00000028,BSB Stenographische Berichte / DWDS D*/reichstag corpus
10,1921-04-07,1921,91. Sitzung,1.WP,Antrag KPD auf entschädigungslose Enteignung des Großgrundbesitzes,KPD motion for uncompensated expropriation of large estates,Land Reform,,bsb00000029,https://www.digitale-sammlungen.de/de/view/bsb00000029,BSB Stenographische Berichte / DWDS D*/reichstag corpus
11,1921-06-22,1921,112. Sitzung,1.WP,Haushalt des Reichsministeriums für Ernährung und Landwirtschaft 1921,Budget of Reich Ministry of Food and Agriculture 1921,Agricultural Budget,,bsb00000030,https://www.digitale-sammlungen.de/de/view/bsb00000030,BSB Stenographische Berichte / DWDS D*/reichstag corpus
12,1921-06-22,1921,112. Sitzung,1.WP,Mißtrauensantrag gegen den Reichsminister für Ernährung und Landwirtschaft,No-confidence motion against Minister of Food and Agriculture,Agricultural Policy,,bsb00000030,https://www.digitale-sammlungen.de/de/view/bsb00000030,BSB Stenographische Berichte / DWDS D*/reichstag corpus
13,1921-07-14,1921,120. Sitzung,1.WP,Zuckersteuergesetz – Schlußabstimmung,Sugar Tax Law – final vote,Sugar Taxation,,bsb00000030,https://www.digitale-sammlungen.de/de/view/bsb00000030,BSB Stenographische Berichte / DWDS D*/reichstag corpus
14,1921-10-20,1921,138. Sitzung,1.WP,Getreideumlaggesetz – namentliche Abstimmung,Grain Levy Law – roll call vote,Grain Market Regulation,,bsb00000031,https://www.digitale-sammlungen.de/de/view/bsb00000031,BSB Stenographische Berichte / DWDS D*/reichstag corpus
15,1921-11-10,1921,149. Sitzung,1.WP,Fleischbeschaugesetz – Novelle,Meat Inspection Law – Amendment,Meat / Livestock,,bsb00000032,https://www.digitale-sammlungen.de/de/view/bsb00000032,BSB Stenographische Berichte / DWDS D*/reichstag corpus
16,1921-12-15,1921,161. Sitzung,1.WP,Antrag betreffend Notlage der Landwirtschaft,Motion on the Emergency of Agriculture,Agricultural Emergency,,bsb00000033,https://www.digitale-sammlungen.de/de/view/bsb00000033,BSB Stenographische Berichte / DWDS D*/reichstag corpus
