vote_id,date,year,session,wahlperiode,bill_german_title,bill_english_title,topic_category,drucksache,bsb_volume_id,bsb_url,source
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB Stenographische Berichte / DWDS D*/reichstag corpus
2,1919-08-11,1919,69. Sitzung,WNV,Reichssiedlungsgesetz – Schlußabstimmung,Reich Settlement Law – final vote,Land Reform / Settlement,,bsb00000011,https://www.digitale-sammlungen.de/de/view/bsb00000011,BSB Stenographische Berichte / DWDS D*/reichstag corpus
3,1919-10-09,1919,91. Sitzung,WNV,Gesetz über die Regelung der Landarbeiter-Verhältnisse – Schlußabstimmung,Agricultural Workers' Regulation Law – final vote,Agricultural Labour,,bsb00000012,https://www.digitale-sammlungen.de/de/view/bsb00000012,BSB Stenographische Berichte / DWDS D*/reichstag corpus
4,1920-07-09,1920,14. Sitzung,1.WP,Etat des Reichsministeriums für Ernährung und Landwirtschaft – Gesamtabstimmung,Budget of Reich Ministry of Food and Agriculture – final vote,Agricultural Budget,,bsb00000015,https://www.digitale-sammlungen.de/de/view/bsb00000015,BSB Stenographische Berichte / DWDS D*/reichstag corpus
5,1920-08-12,1920,29. Sitzung,1.WP,Gesetz über Maßnahmen gegen die Viehseuchen,Law on Measures against Livestock Epidemics,Livestock / Animal Health,,bsb00000015,https://www.digitale-sammlungen.de/de/view/bsb00000015,BSB Stenographische Berichte / DWDS D*/reichstag corpus
6,1920-12-16,1920,50. Sitzung,1.WP,Zolltarifnovelle – Landwirtschaftliche Positionen,Tariff Amendment – Agricultural positions,Agricultural Tariffs,,bsb00000016,https://www.digitale-sammlungen.de/de/view/bsb00000016,BSB Stenographische Berichte / DWDS D*/reichstag corpus
7,1921-03-10,1921,80. Sitzung,1.WP,Gesetzentwurf über die Erhöhung der Getreidezölle,Bill on the Increase of Grain Tariffs,Grain Tariff,,bsb00000028,https://www.digitale-sammlungen.de/de/view/bsb00000028,BSB Stenographische Berichte / DWDS D*/reichstag corpus
8,1921-03-22,1921,84. Sitzung,1.WP,Antrag betreffend Aufhebung der Zwangswirtschaft für Getreide,Motion on Abolition of Grain Rationing Controls,Grain Market Regulation,,bsb00000028,https://www.digitale-sammlungen.de/de/view/bsb00000028,BSB Stenographische Berichte / DWDS D*/reichstag corpus
9,1921-03-24,1921,86. Sitzung,1.WP,Gesetzentwurf über die Regelung des Verkehrs mit Milch,Bill on the Regulation of Milk Trade,Milk / Dairy Regulation,,bsb00000028,https://www.digitale-sammlungen.de/de/view/bsb00000028,BSB Stenographische Berichte / DWDS D*/reichstag corpus
10,1921-04-07,1921,91. Sitzung,1.WP,Antrag KPD auf entschädigungslose Enteignung des Großgrundbesitzes,KPD motion for uncompensated expropriation of large estates,Land Reform,,bsb00000029,https://www.digitale-sammlungen.de/de/view/bsb00000029,BSB Stenographische Berichte / DWDS D*/reichstag corpus
11,1921-06-22,1921,112. Sitzung,1.WP,Haushalt des Reichsministeriums für Ernährung und Landwirtschaft 1921,Budget of Reich Ministry of Food and Agriculture 1921,Agricultural Budget,,bsb00000030,https://www.digitale-sammlungen.de/de/view/bsb00000030,BSB Stenographische Berichte / DWDS D*/reichstag corpus
12,1921-06-22,1921,112. Sitzung,1.WP,Mißtrauensantrag gegen den Reichsminister für Ernährung und Landwirtschaft,No-confidence motion against Minister of Food and Agriculture,Agricultural Policy,,bsb00000030,https://www.digitale-sammlungen.de/de/view/bsb00000030,BSB Stenographische Berichte / DWDS D*/reichstag corpus
13,1921-07-14,1921,120. Sitzung,1.WP,Zuckersteuergesetz – Schlußabstimmung,Sugar Tax Law – final vote,Sugar Taxation,,bsb00000030,https://www.digitale-sammlungen.de/de/view/bsb00000030,BSB Stenographische Berichte / DWDS D*/reichstag corpus
14,1921-10-20,1921,138. Sitzung,1.WP,Getreideumlaggesetz – namentliche Abstimmung,Grain Levy Law – roll call vote,Grain Market Regulation,,bsb00000031,https://www.digitale-sammlungen.de/de/view/bsb00000031,BSB Stenographische Berichte / DWDS D*/reichstag corpus
